PlateID,Column,Row,ProcessingDate,CoreID,Morphotype,Notes,OakTip
MBH002,2,G,7 Apr 2024,SOS-120,H,,
MBH002,2,H,7 Apr 2024,SOS-120,H,,
MBH002,3,A,7 Apr 2024,SOS-076,R,,
MBH002,3,B,7 Apr 2024,SOS-076,H,,
MBH002,3,C,7 Apr 2024,SOS-076,R,,
MBH002,3,D,7 Apr 2024,SOS-076,H,,
MBH002,3,E,7 Apr 2024,SOS-076,H,,
MBH002,3,F,7 Apr 2024,SOS-076,R,,
MBH002,3,G,7 Apr 2024,SOS-076,R,,
MBH002,3,H,7 Apr 2024,SOS-076,H,,
MBH002,4,A,7 Apr 2024,SOS-104,S,,
MBH002,4,B,7 Apr 2024,SOS-104,S,,
MBH002,4,C,7 Apr 2024,SOS-104,S,,
MBH002,4,D,7 Apr 2024,SOS-104,H,,
MBH002,4,E,7 Apr 2024,SOS-104,H,,
MBH002,4,F,7 Apr 2024,SOS-104,S,,
MBH002,4,G,7 Apr 2024,SOS-104,S,,
MBH002,4,H,7 Apr 2024,SOS-104,N,,
MBH002,5,A,7 Apr 2024,SOS-077,H,,
MBH002,5,B,7 Apr 2024,SOS-077,G,,
MBH002,5,C,7 Apr 2024,SOS-077,G,,
MBH002,5,D,7 Apr 2024,SOS-077,J,,
MBH002,5,E,7 Apr 2024,SOS-062,K,,
MBH002,5,F,7 Apr 2024,SOS-062,G,,
MBH002,5,G,7 Apr 2024,SOS-062,Q,,
MBH002,5,H,7 Apr 2024,SOS-062,K,,
MBH002,6,A,7 Apr 2024,SOS-103,L,,
MBH002,6,B,7 Apr 2024,SOS-103,H,,
MBH002,6,C,7 Apr 2024,SOS-103,H,,
MBH002,6,D,7 Apr 2024,SOS-103,H,,
MBH002,6,E,7 Apr 2024,SOS-103,H,,
MBH002,6,F,7 Apr 2024,SOS-103,S,,
MBH002,6,G,7 Apr 2024,SOS-103,N-OAK,,Y
MBH002,6,H,7 Apr 2024,SOS-103,Q-OAK,,Y
MBH002,7,A,7 Apr 2024,SOS-069,Z,,
MBH002,7,B,7 Apr 2024,SOS-069,Z,,
MBH002,7,C,7 Apr 2024,SOS-069,Z,,
MBH002,7,D,7 Apr 2024,SOS-069,Q,,
MBH002,7,E,7 Apr 2024,SOS-061,Q,"Q, but very blue-black",
MBH002,7,F,7 Apr 2024,SOS-061,G,,
MBH002,7,G,7 Apr 2024,SOS-061,G,,
MBH002,7,H,7 Apr 2024,SOS-061,G,,
MBH002,8,A,7 Apr 2024,SOS-115,Q,,
MBH002,8,B,7 Apr 2024,SOS-115,Q,,
MBH002,8,C,7 Apr 2024,SOS-058,N,,
MBH002,8,D,7 Apr 2024,SOS-058,Q,,
MBH002,8,E,7 Apr 2024,SOS-067,G,,
MBH002,8,F,7 Apr 2024,SOS-067,G,,
MBH002,8,G,7 Apr 2024,SOS-067,G,,
MBH002,8,H,7 Apr 2024,SOS-067,G,,
MBH002,9,A,7 Apr 2024,SOS-102,G,,
MBH002,9,B,7 Apr 2024,SOS-102,H,,
MBH002,9,C,7 Apr 2024,SOS-102,H,,
MBH002,9,D,7 Apr 2024,SOS-102,N,,
MBH002,9,E,7 Apr 2024,SOS-102,H,,
MBH002,9,F,7 Apr 2024,SOS-102,T,,
MBH002,9,G,7 Apr 2024,SOS-102,H,,
MBH002,9,H,7 Apr 2024,SOS-102,G,,
MBH002,10,A,7 Apr 2024,SOS-068,G,,
MBH002,10,B,7 Apr 2024,SOS-068,G,,
MBH002,10,C,7 Apr 2024,SOS-068,G,,
MBH002,10,D,7 Apr 2024,SOS-068,G,,
MBH002,10,E,7 Apr 2024,SOS-068,H,,
MBH002,10,F,7 Apr 2024,SOS-068,H,,
MBH002,10,G,7 Apr 2024,SOS-068,H,,
MBH002,10,H,7 Apr 2024,SOS-068,H,,
MBH002,11,A,7 Apr 2024,SOS-117,H,,
MBH002,11,B,7 Apr 2024,SOS-117,H,,
MBH002,11,C,7 Apr 2024,SOS-117,H,,
MBH002,11,D,7 Apr 2024,SOS-117,H,,
MBH002,11,E,7 Apr 2024,,NEGCTRL,,
MBH002,11,F,7 Apr 2024,,NEGCTRL,,
MBH002,11,G,7 Apr 2024,,NEGCTRL,,
MBH002,11,H,7 Apr 2024,,NEGCTRL,,
MBH002,12,A,7 Apr 2024,,NEGCTRL,,
MBH002,12,B,7 Apr 2024,,NEGCTRL,,
MBH002,12,C,7 Apr 2024,,NEGCTRL,,
MBH002,12,D,7 Apr 2024,,NEGCTRL,,
MBH002,12,E,7 Apr 2024,,NEGCTRL,,
MBH002,12,F,7 Apr 2024,,NEGCTRL,,
MBH002,12,G,7 Apr 2024,,NEGCTRL,,
MBH002,12,H,7 Apr 2024,,NEGCTRL,,
MBH003,1,A,9 Apr 2024,SOS-118,N,,
MBH003,1,B,9 Apr 2024,SOS-118,H,,
MBH003,1,C,9 Apr 2024,SOS-118,I,,
MBH003,1,D,9 Apr 2024,SOS-118,H,,
MBH003,1,E,9 Apr 2024,SOS-118,P,,
MBH003,1,F,9 Apr 2024,SOS-118,P,,
MBH003,1,G,9 Apr 2024,SOS-118,I,,
MBH003,1,H,9 Apr 2024,SOS-118,H,,
MBH003,2,A,9 Apr 2024,SOS-066,N,,
MBH003,2,B,9 Apr 2024,SOS-066,H,,
MBH003,2,C,9 Apr 2024,SOS-066,I,,
MBH003,2,D,9 Apr 2024,SOS-066,I,,
MBH003,2,E,9 Apr 2024,SOS-066,I,,
MBH003,2,F,9 Apr 2024,SOS-066,H,,
MBH003,2,G,9 Apr 2024,SOS-066,H,,
MBH003,2,H,9 Apr 2024,SOS-066,I,,
MBH003,3,A,9 Apr 2024,SOS-063,G,,
MBH003,3,B,9 Apr 2024,SOS-063,M,,
MBH003,3,C,9 Apr 2024,SOS-063,P,,
MBH003,3,D,9 Apr 2024,SOS-063,P,,
MBH003,3,E,9 Apr 2024,SOS-063,G,,
MBH003,3,F,9 Apr 2024,SOS-063,I,,
MBH003,3,G,9 Apr 2024,SOS-063,G,,
MBH003,3,H,9 Apr 2024,SOS-063,G,,
MBH003,4,A,10 Apr 2024,SOS-079,G,,
MBH003,4,B,10 Apr 2024,SOS-079,H,,
MBH003,4,C,10 Apr 2024,SOS-079,H,,
MBH003,4,D,10 Apr 2024,SOS-079,H,,
MBH003,4,E,10 Apr 2024,SOS-079,G,,
MBH003,4,F,10 Apr 2024,SOS-079,G,,
MBH003,4,G,10 Apr 2024,SOS-079,S,,
MBH003,4,H,10 Apr 2024,SOS-079,S,,
MBH003,5,A,10 Apr 2024,SOS-088,P,,
MBH003,5,B,10 Apr 2024,SOS-088,P,,
MBH003,5,C,10 Apr 2024,SOS-088,P,,
MBH003,5,D,10 Apr 2024,SOS-088,P,,
MBH003,5,E,10 Apr 2024,SOS-088,H,,
MBH003,5,F,10 Apr 2024,SOS-088,H,,
MBH003,5,G,10 Apr 2024,SOS-088,H,,
MBH003,5,H,10 Apr 2024,SOS-088,H,,
MBH003,6,A,10 Apr 2024,SOS-089,Q,,
MBH003,6,B,10 Apr 2024,SOS-089,Q,,
MBH003,6,C,10 Apr 2024,SOS-089,P,,
MBH003,6,D,10 Apr 2024,SOS-089,P,,
MBH003,6,E,10 Apr 2024,SOS-089,K,,
MBH003,6,F,10 Apr 2024,SOS-089,K,,
MBH003,6,G,10 Apr 2024,SOS-089,K,,
MBH003,6,H,10 Apr 2024,SOS-089,K,,
MBH003,7,A,10 Apr 2024,SOS-059,K,,
MBH003,7,B,10 Apr 2024,SOS-059,K,,
MBH003,7,C,10 Apr 2024,SOS-059,K,,
MBH003,7,D,10 Apr 2024,SOS-059,K,,
MBH003,7,E,10 Apr 2024,SOS-059,K,,
MBH003,7,F,10 Apr 2024,SOS-059,K,,
MBH003,7,G,10 Apr 2024,SOS-059,K,,
MBH003,7,H,10 Apr 2024,,NEGCTRL,,
MBH003,8,A,10 Apr 2024,SOS-057,K,,
MBH003,8,B,10 Apr 2024,SOS-057,K,,
MBH003,8,C,10 Apr 2024,SOS-057,K,,
MBH003,8,D,10 Apr 2024,SOS-057,K,,
MBH003,8,E,10 Apr 2024,,NEGCTRL,,
MBH003,8,F,10 Apr 2024,,NEGCTRL,,
MBH003,8,G,10 Apr 2024,,NEGCTRL,,
MBH003,8,H,10 Apr 2024,,NEGCTRL,,
MBH003,9,A,10 Apr 2024,SOS-081,U,,
MBH003,9,B,10 Apr 2024,SOS-081,U,,
MBH003,9,C,10 Apr 2024,SOS-081,H,,
MBH003,9,D,10 Apr 2024,SOS-081,Q,,
MBH003,9,E,10 Apr 2024,SOS-081,U,,
MBH003,9,F,10 Apr 2024,SOS-081,Q,,
MBH003,9,G,10 Apr 2024,SOS-081,N,,
MBH003,9,H,10 Apr 2024,SOS-081,H,,
MBH003,10,A,11 Apr 2024,SOS-084,K,,
MBH003,10,B,11 Apr 2024,SOS-084,S,,
MBH003,10,C,11 Apr 2024,SOS-084,V,,
MBH003,10,D,11 Apr 2024,SOS-084,H,,
MBH003,10,E,11 Apr 2024,SOS-084,H,,
MBH003,10,F,11 Apr 2024,SOS-084,K,,
MBH003,10,G,11 Apr 2024,SOS-084,K,,
MBH003,10,H,11 Apr 2024,SOS-084,K,,
MBH003,11,A,11 Apr 2024,SOS-064,P,,
MBH003,11,B,11 Apr 2024,SOS-064,V,,
MBH003,11,C,11 Apr 2024,SOS-064,Q,,
MBH003,11,D,11 Apr 2024,SOS-064,Q,,
MBH003,11,E,11 Apr 2024,SOS-064,Q,,
MBH003,11,F,11 Apr 2024,,NEGCTRL,,
MBH003,11,G,11 Apr 2024,,NEGCTRL,,
