site,tree,slope,core
PRS,956,uphill,MBH-1242
PRS,956,downhill,MBH-1243
PRS,970,uphill,MBH-1270
PRS,970,downhill,MBH-1271
PRS,969,uphill,MBH-1250
PRS,969,downhill,MBH-1251
PRS,968,uphill,MBH-1248
PRS,968,downhill,MBH-1249
PRS,967,uphill,MBH-1246
PRS,967,downhill,MBH-1247
PRS,966,uphill,MBH-1252
PRS,966,downhill,MBH-1253
PRS,965,uphill,MBH-1254
PRS,965,downhill,MBH-1255
PRS,964,uphill,MBH-1256
PRS,964,downhill,MBH-1257
PRS,963,uphill,MBH-1258
PRS,963,downhill,MBH-1259
PRS,962,uphill,MBH-1262
PRS,962,downhill,MBH-1263
PRS,960,uphill,MBH-1264
PRS,960,downhill,MBH-1265
PRS,959,uphill,MBH-1268
PRS,959,downhill,MBH-1269
PRS,958,uphill,MBH-1266
PRS,958,downhill,MBH-1267
PRS,971,uphill,MBH-1244
PRS,971,downhill,MBH-1245
SQL,972,uphill,MBH-1283
SQL,972,downhill,MBH-1284
SQL,973,uphill,MBH-1281
SQL,973,downhill,MBH-1282
SQL,974,uphill,MBH-1279
SQL,974,downhill,MBH-1280
SQL,975,uphill,MBH-1277
SQL,975,downhill,MBH-1278
SQL,976,uphill,MBH-1275
SQL,976,downhill,MBH-1276
SQL,977,uphill,MBH-1285
SQL,977,downhill,MBH-1286
SQL,978,uphill,MBH-1287
SQL,978,downhill,MBH-1288
SQL,979,uphill,MBH-1289
SQL,979,downhill,MBH-1290
SQL,980,uphill,MBH-1291
SQL,980,downhill,MBH-1292
SQL,981,uphill,MBH-1311
SQL,981,downhill,MBH-1312
SQL,982,uphill,MBH-1313
SQL,982,downhill,MBH-1314
SQL,983,uphill,MBH-1305
SQL,983,downhill,MBH-1306
SQL,984,uphill,MBH-1307
SQL,984,downhill,MBH-1308
SQL,985,uphill,MBH-1301
SQL,985,downhill,MBH-1302
SQL,986,uphill,MBH-1293
SQL,986,downhill,MBH-1294
SQL,987,uphill,MBH-1295
SQL,987,downhill,MBH-1296
SQL,988,uphill,MBH-1299
SQL,988,downhill,MBH-1300
SQL,989,uphill,MBH-1303
SQL,989,downhill,MBH-1304
SQL,990,uphill,MBH-1309
SQL,990,downhill,MBH-1310
SQL,991,uphill,MBH-1297
SQL,991,downhill,MBH-1298
ANG,931,uphill,MBH-1357
ANG,931,downhill,MBH-1358
ANG,932,uphill,MBH-1355
ANG,932,downhill,MBH-1356
ANG,933,uphill,MBH-1359
ANG,933,downhill,MBH-1360
ANG,934,uphill,MBH-1361
ANG,934,downhill,MBH-1362
ANG,935,uphill,MBH-1363
ANG,935,downhill,MBH-1364
ANG,936,uphill,MBH-1375
ANG,936,downhill,MBH-1376
ANG,937,uphill,MBH-1379
ANG,937,downhill,MBH-1380
ANG,938,uphill,MBH-1383
ANG,938,downhill,MBH-1384
ANG,939,uphill,MBH-1381
ANG,939,downhill,MBH-1382
ANG,940,uphill,MBH-1377
ANG,940,downhill,MBH-1378
ANG,941,uphill,MBH-1365
ANG,941,downhill,MBH-1366
ANG,942,uphill,MBH-1373
